AcX,AcY,AcZ,GyX,GyY,GyZ,time
2108,-16112,-1908,-261,-213,-40,91552
2272,-16100,-1960,-263,-180,-67,91573
2108,-16060,-1820,-250,-95,-46,91594
2332,-16144,-2076,-245,-50,-30,91615
2228,-16304,-2016,-224,55,33,91636
2216,-16220,-1868,-219,-146,98,91657
2460,-16192,-2060,-250,-18,234,91678
2112,-16208,-1804,-206,42,314,91699
2280,-16160,-2092,-180,-67,312,91720
2056,-16204,-1856,-132,-45,318,91741
2116,-16192,-2008,-105,-105,311,91762
2060,-16212,-1908,-74,19,328,91783
2132,-16232,-2008,-44,36,315,91804
2080,-16104,-1852,-24,-202,266,91827
2180,-16120,-1976,31,-142,258,91848
2136,-16168,-1900,44,-162,248,91869
2068,-16260,-1940,58,-57,277,91890
1996,-16256,-1956,122,-96,224,91911
2072,-16196,-1868,188,-189,216,91932
2012,-16076,-1892,182,-159,243,91953
2040,-16212,-1860,225,-118,288,91974
2116,-16212,-1936,273,-142,312,91995
1972,-16300,-1920,318,-144,341,92016
2144,-16240,-1952,371,-222,353,92037
2048,-16184,-2016,377,-105,433,92058
1908,-16056,-1832,491,-225,458,92079
1828,-16272,-1692,598,-553,414,92100
1836,-16204,-1676,688,-777,456,92121
1824,-16200,-1396,739,-879,504,92142
1428,-16308,-1584,831,-1241,505,92163
1764,-16264,-1592,961,-1760,482,92184
2120,-16456,-1756,1049,-1578,618,92205
2120,-16328,-1796,1121,-1253,747,92226
1908,-16332,-1804,1252,-859,724,92247
2100,-16296,-1348,1316,-575,794,92268
2108,-16128,-1328,1445,-226,1069,92289
2692,-16092,-1808,1503,283,1570,92310
2724,-16220,-1552,1629,1192,2256,92331
1936,-16400,-1140,1770,1552,2819,92352
1796,-16152,-1028,2002,1342,3361,92373
2044,-16368,-1204,2212,1478,4117,92394
1576,-16436,-1124,2548,1046,5237,92415
2004,-16844,-260,3074,311,6582,92436
1956,-17348,-1200,3186,374,8167,92457
620,-18960,-892,3566,-642,10233,92478
472,-19272,-2384,3676,-1519,11481,92499
988,-18476,-3284,4478,-1749,11865,92520
484,-21408,-1856,5530,-2623,11737,92541
-236,-21088,-3868,5846,-3839,11640,92562
-2544,-19124,-3388,5466,-5143,11753,92583
-2464,-16232,-4752,4130,-8657,9849,92604
2584,-15444,-2764,4460,-12113,5563,92625
6808,-13360,-2568,3026,-10842,1605,92646
8472,-12476,-1884,1689,-5943,-669,92667
6920,-11008,-1468,-1148,-570,-3410,92688
7388,-11868,-1116,-3602,4190,-6215,92709
7004,-12796,-664,-5728,9553,-8434,92730
5156,-14132,28,-6865,13673,-10541,92751
3840,-15952,796,-7001,14565,-12824,92772
2752,-17208,940,-6621,13605,-15047,92793
1380,-18664,284,-5878,11910,-16816,92814
228,-19564,-632,-5355,10674,-17709,92835
